arxiv_id,page_no,has_diagram,field,pdf_path,split
2604.17012v1,1,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17012v1.pdf,train
2604.17012v1,2,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17012v1.pdf,train
2604.17012v1,4,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17012v1.pdf,train
2604.17012v1,5,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17012v1.pdf,train
2604.17012v1,6,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17012v1.pdf,train
2604.17603v1,1,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17603v1.pdf,train
2604.17603v1,2,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17603v1.pdf,train
2604.17603v1,3,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17603v1.pdf,train
2604.17603v1,4,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17603v1.pdf,train
2604.17603v1,5,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17603v1.pdf,train
2604.17603v1,7,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17603v1.pdf,train
2604.17603v1,8,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17603v1.pdf,train
2604.17603v1,9,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17603v1.pdf,train
2604.17603v1,10,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17603v1.pdf,train
2604.17603v1,11,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17603v1.pdf,train
2604.17603v1,12,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17603v1.pdf,train
2604.17603v1,13,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.17603v1.pdf,train
2604.18268v1,1,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18268v1.pdf,train
2604.18268v1,2,1,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18268v1.pdf,train
2604.18268v1,3,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18268v1.pdf,train
2604.18268v1,4,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18268v1.pdf,train
2604.18268v1,5,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18268v1.pdf,train
2604.18268v1,6,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18268v1.pdf,train
2604.18732v1,1,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18732v1.pdf,train
2604.18732v1,2,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18732v1.pdf,train
2604.18732v1,3,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18732v1.pdf,train
2604.18732v1,4,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18732v1.pdf,train
2604.18732v1,5,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18732v1.pdf,train
2604.18732v1,6,1,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18732v1.pdf,train
2604.18732v1,7,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18732v1.pdf,train
2604.18732v1,8,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18732v1.pdf,train
2604.18732v1,9,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18732v1.pdf,train
2604.18732v1,10,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18732v1.pdf,train
2604.18926v2,1,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,2,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,3,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,4,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,5,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,6,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,7,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,8,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,9,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,10,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,11,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,12,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,13,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,14,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,15,1,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,16,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,17,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,18,1,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,19,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
2604.18926v2,20,0,utilities_power_systems,/Volumes/One Touch/stem_diagrams_data/papers_v2/utilities_power_systems/2604.18926v2.pdf,val
